Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Temperature, 'c, Time, s 
109 mm, 70 'c, 27.600000 s 
110 mm, 69 'c, 27.800000 s 
109 mm, 69 'c, 28.000000 s 
109 mm, 69 'c, 28.200000 s 
108 mm, 69 'c, 28.400000 s 
109 mm, 68 'c, 28.600000 s 
108 mm, 68 'c, 28.800000 s 
109 mm, 67 'c, 29.000000 s 
109 mm, 67 'c, 29.200000 s 
107 mm, 67 'c, 29.400000 s 
103 mm, 66 'c, 29.600000 s 
103 mm, 66 'c, 29.800000 s 
104 mm, 66 'c, 30.000000 s 
101 mm, 65 'c, 30.200000 s 
Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
98 mm, 56 'c, 0.200000 s 
95 mm, 56 'c, 0.400000 s 
94 mm, 55 'c, 0.600000 s 
94 mm, 55 'c, 0.800000 s 
91 mm, 54 'c, 1.000000 s 
93 mm, 53 'c, 1.200000 s 
91 mm, 53 'c, 1.400000 s 
92 mm, 52 'c, 1.600000 s 
92 mm, 51 'c, 1.800000 s 
91 mm, 51 'c, 2.000000 s 
90 mm, 50 'c, 2.200000 s 
87 mm, 49 'c, 2.400000 s 
88 mm, 48 'c, 2.600000 s 
86 mm, 48 'c, 2.800000 s 
84 mm, 46 'c, 3.000000 s 
84 mm, 46 'c, 3.200000 s 
84 mm, 46 'c, 3.400000 s 
82 mm, 45 'c, 3.600000 s 
81 mm, 44 'c, 3.800000 s 
81 mm, 44 'c, 4.000000 s 
82 mm, 44 'c, 4.200000 s 
83 mm, 43 'c, 4.400000 s 
81 mm, 43 'c, 4.600000 s 
81 mm, 42 'c, 4.800000 s 
80 mm, 42 'c, 5.000000 s 
80 mm, 42 'c, 5.200000 s 
81 mm, 42 'c, 5.400000 s 
78 mm, 41 'c, 5.600000 s 
79 mm, 40 'c, 5.800000 s 
78 mm, 39 'c, 6.000000 s 
80 mm, 39 'c, 6.200000 s 
80 mm, 39 'c, 6.400000 s 
82 mm, 38 'c, 6.600000 s 
76 mm, 38 'c, 6.800000 s 
77 mm, 38 'c, 7.000000 s 
79 mm, 37 'c, 7.200000 s 
78 mm, 37 'c, 7.400000 s 
77 mm, 37 'c, 7.600000 s 
78 mm, 36 'c, 7.800000 s 
75 mm, 36 'c, 8.000000 s 
75 mm, 36 'c, 8.200000 s 
76 mm, 35 'c, 8.400000 s 
75 mm, 35 'c, 8.600000 s 
76 mm, 35 'c, 8.800000 s 
75 mm, 35 'c, 9.000000 s 
73 mm, 34 'c, 9.200000 s 
75 mm, 35 'c, 9.400000 s 
77 mm, 34 'c, 9.600000 s 
74 mm, 34 'c, 9.800000 s 
75 mm, 34 'c, 10.000000 s 
75 mm, 33 'c, 10.200000 s 
75 mm, 33 'c, 10.400000 s 
75 mm, 34 'c, 10.600000 s 
75 mm, 33 'c, 10.800000 s 
74 mm, 33 'c, 11.000000 s 
75 mm, 33 'c, 11.200000 s 
75 mm, 32 'c, 11.400000 s 
74 mm, 32 'c, 11.600000 s 
75 mm, 32 'c, 11.800000 s 
75 mm, 32 'c, 12.000000 s 
74 mm, 31 'c, 12.200000 s 
74 mm, 31 'c, 12.400000 s 
75 mm, 31 'c, 12.600000 s 
75 mm, 31 'c, 12.800000 s 
74 mm, 31 'c, 13.000000 s 
75 mm, 30 'c, 13.200000 s 
73 mm, 31 'c, 13.400000 s 
74 mm, 30 'c, 13.600000 s 
75 mm, 30 'c, 13.800000 s 
75 mm, 30 'c, 14.000000 s 
73 mm, 30 'c, 14.200000 s 
73 mm, 30 'c, 14.400000 s 
73 mm, 30 'c, 14.600000 s 
73 mm, 30 'c, 14.800000 s 
73 mm, 30 'c, 15.000000 s 
74 mm, 30 'c, 15.200000 s 
73 mm, 30 'c, 15.400000 s 
73 mm, 30 'c, 15.600000 s 
74 mm, 29 'c, 15.800000 s 
74 mm, 29 'c, 16.000000 s 
74 mm, 30 'c, 16.200000 s 
72 mm, 29 'c, 16.400000 s 
73 mm, 29 'c, 16.600000 s 
73 mm, 29 'c, 16.800000 s 
73 mm, 29 'c, 17.000000 s 
73 mm, 29 'c, 17.200000 s 
72 mm, 29 'c, 17.400000 s 
73 mm, 29 'c, 17.600000 s 
73 mm, 28 'c, 17.800000 s 
72 mm, 28 'c, 18.000000 s 
72 mm, 28 'c, 18.200000 s 
73 mm, 28 'c, 18.400000 s 
74 mm, 28 'c, 18.600000 s 
73 mm, 28 'c, 18.800000 s 
71 mm, 28 'c, 19.000000 s 
74 mm, 28 'c, 19.200000 s 
73 mm, 28 'c, 19.400000 s 
73 mm, 28 'c, 19.600000 s 
73 mm, 28 'c, 19.800000 s 
71 mm, 28 'c, 20.000000 s 
